Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2019-09-09 16:11:15.854,VR2W-135176,A69-1602-59336,,,,,CESI 17
2019-09-09 16:11:16.200,VR2W-135178,A69-1602-59336,,,,,CESI 16
2019-09-09 16:11:17.090,VR2W-128961,A69-1602-59336,,,,,Loaner 3
2019-09-09 16:11:17.422,VR2W-128369,A69-1602-59336,,,,,CESI11
2019-09-09 16:11:17.646,VR2W-128973,A69-1602-59336,,,,,Loaner 4
2019-09-09 16:11:20.005,VR2W-128967,A69-1602-59336,,,,,Loaner 2
2019-09-09 16:11:37.319,VR2W-128371,A69-1602-59336,,,,,CESI15
2019-09-09 16:11:38.211,VR2W-128959,A69-1602-59335,,,,,CESI12
2019-09-09 16:12:09.150,VR2W-128344,A69-1602-59335,,,,,CESI13
2019-09-09 16:12:20.717,VR2W-128370,A69-1602-59335,,,,,CESI05
2019-09-09 16:12:24.330,VR2W-128373,A69-1602-59335,,,,,CESI14
2019-09-09 16:12:27.626,VR2W-131531,A69-1602-59335,,,,,CESI04
2019-09-09 16:12:34.921,VR2W-128365,A69-1602-59335,,,,,CESI07
2019-09-09 16:12:37.512,VR2W-128372,A69-1602-59335,,,,,CESI06
2019-09-09 16:12:42.447,VR2W-128361,A69-1602-59335,,,,,CESI01
2019-09-09 16:12:47.344,VR2W-128963,A69-1602-59335,,,,,Loaner 1
2019-09-09 16:12:47.894,VR2W-128368,A69-1602-59335,,,,,CESI08
2019-09-09 16:12:48.455,VR2W-128367,A69-1602-59335,,,,,CESI03
2019-09-09 16:12:51.769,VR2W-135176,A69-1602-59335,,,,,CESI 17
2019-09-09 16:12:52.975,VR2W-128961,A69-1602-59335,,,,,Loaner 3
2019-09-09 16:12:53.579,VR2W-128973,A69-1602-59335,,,,,Loaner 4
2019-09-09 16:12:55.917,VR2W-128967,A69-1602-59335,,,,,Loaner 2
2019-09-09 16:12:59.878,VR2W-128355,A69-1602-59334,,,,,CESI10
2019-09-09 16:13:13.241,VR2W-128371,A69-1602-59335,,,,,CESI15
2019-09-09 16:13:32.650,VR2W-128959,A69-1602-59334,,,,,CESI12
2019-09-09 16:14:03.607,VR2W-128344,A69-1602-59334,,,,,CESI13
2019-09-09 16:14:15.188,VR2W-128370,A69-1602-59334,,,,,CESI05
2019-09-09 16:14:18.825,VR2W-128373,A69-1602-59334,,,,,CESI14
2019-09-09 16:14:22.113,VR2W-131531,A69-1602-59334,,,,,CESI04
2019-09-09 16:14:29.352,VR2W-128365,A69-1602-59334,,,,,CESI07
2019-09-09 16:14:31.994,VR2W-128372,A69-1602-59334,,,,,CESI06
2019-09-09 16:14:36.888,VR2W-128361,A69-1602-59334,,,,,CESI01
2019-09-09 16:14:41.801,VR2W-128963,A69-1602-59334,,,,,Loaner 1
2019-09-09 16:14:42.387,VR2W-128368,A69-1602-59334,,,,,CESI08
2019-09-09 16:14:42.919,VR2W-128367,A69-1602-59334,,,,,CESI03
2019-09-09 16:14:46.576,VR2W-135178,A69-1602-59334,,,,,CESI 16
2019-09-09 16:14:47.410,VR2W-128961,A69-1602-59334,,,,,Loaner 3
2019-09-09 16:14:47.808,VR2W-128369,A69-1602-59334,,,,,CESI11
2019-09-09 16:14:48.048,VR2W-128973,A69-1602-59334,,,,,Loaner 4
2019-09-09 16:14:50.394,VR2W-128967,A69-1602-59334,,,,,Loaner 2
2019-09-09 16:15:07.689,VR2W-128371,A69-1602-59334,,,,,CESI15
2019-09-09 16:15:38.557,VR2W-128355,A69-1602-59337,,,,,CESI10
2019-09-09 16:16:11.305,VR2W-128959,A69-1602-59337,,,,,CESI12
2019-09-09 16:16:42.192,VR2W-128344,A69-1602-59337,,,,,CESI13
2019-09-09 16:16:53.849,VR2W-128370,A69-1602-59337,,,,,CESI05
2019-09-09 16:16:57.506,VR2W-128373,A69-1602-59337,,,,,CESI14
2019-09-09 16:17:00.770,VR2W-131531,A69-1602-59337,,,,,CESI04
2019-09-09 16:17:08.061,VR2W-128365,A69-1602-59337,,,,,CESI07
2019-09-09 16:17:10.700,VR2W-128372,A69-1602-59337,,,,,CESI06
